ន	និង|នៃ|នេះ|នៅ|នៅក្នុង|នឹង
ដូចគ្	ដូចគ្នា
សក្	សក្តានុពល|សក្ដានុពល|សក្ខីភាព|សក្តិ|សក្ខីកម្ម|សក្តានុពលរក
សក្ត	សក្តានុពល|សក្តិ|សក្តានុពលរក|សក្តិសម|សក្តានុពល៖|សក្តានុពលរវាង
សក្តា	សក្តានុពល|សក្តានុពលរក|សក្តានុពល៖|សក្តានុពលរវាង|សក្តានុពល។
ប្រភព	ប្រភព|ប្រភព៖
ធាត	ធាតុ|ធាត់|ធាតុបញ្ចូល|ធាតុអាកាស|ធាតុអារេ|ធាត់៖
ធាតុ	ធាតុ|ធាតុបញ្ចូល|ធាតុអាកាស|ធាតុអារេ|ធាតុអាហារ
គម	គម្រោង|គម្លាត|គម្រប|គម|គមនាគមន៍|គម្ពីរ
គម្	គម្រោង|គម្លាត|គម្រប|គម្ពីរ|គម្រោ|គម្រាមកំហែង
គម្រ	គម្រោង|គម្រប|គម្រោ|គម្រាមកំហែង|គម្រប់
គម្រោ	គម្រោង|គម្រោ
ការណ	ការណែនាំ|ការណាត់ជួប|ការណែនាំ៖|ការណ៍៖|ការណ៍
ការណែ	ការណែនាំ|ការណែនាំ៖
សត	សត្វ|សតវត្ស|សតិអារម្មណ៍|សតវត្សរ៍|សតិសម្បជញ្ញៈ|សតិ
សត្	សត្វ|សត្រូវ|សត្វ៖|សត្រូវបាន
សត្វ	សត្វ|សត្វ៖
ជះ	ជះ|ជះឥទ្ធិពល|ជះឥទ្ធិពលរយៈពេល
ការចំ	ការចំណាយ|ការចំណាយ៖|ការចំណេញ|ការចំអិន|ការចំហុយ|ការចំហេះ
គា	គាត់|គាំទ្រ|គាំង|គាំទ្រ៖|គាបសង្កត់|គាត់៖
គាត	គាត់|គាត់៖
គាត់	គាត់|គាត់៖
ទៅម	ទៅមក|ទៅមក៖
ទៅមក	ទៅមក|ទៅមក៖
អតិ	អតិថិជន|អតិផរណា|អតិបរមា|អតិសុខុមប្រាណ|អតិរេក|អតិថិជន៖
អតិថ	អតិថិជន|អតិថិជន៖|អតិថិជ
អតិថិ	អតិថិជន|អតិថិជន៖|អតិថិជ
ហ្	ហ្គេម|ហ្សែន|ហ្វូស៊ីល|ហ្មត់ចត់|ហ្វឹកហាត់|ហ្វូង
ហ្គ	ហ្គេម|ហ្គេម៖|ហ្គីតា|ហ្គាឡុង|ហ្គោធិក|ហ្គោរ
ហ្គេ	ហ្គេម|ហ្គេម៖|ហ្គេត|ហ្គេឡា
ហ្គេម	ហ្គេម|ហ្គេម៖
រីកច	រីកចម្រើន|រីកចំរើន|រីកចម្រើ
រីកចម	រីកចម្រើន|រីកចម្រើ
សិទ	សិទ្ធិ|សិទ្ធិ៖
សិទ្	សិទ្ធិ|សិទ្ធិ៖
សិទ្ធ	សិទ្ធិ|សិទ្ធិ៖
ពង	ពង្រីក|ពង្រឹង|ពង|ពង្រាយ|ពង្រឹ|ពង្ស
ពង្	ពង្រីក|ពង្រឹង|ពង្រាយ|ពង្រឹ|ពង្ស|ពង្រាង
ពង្រ	ពង្រីក|ពង្រឹង|ពង្រាយ|ពង្រឹ|ពង្រាង
ពង្រី	ពង្រីក
ដំប	ដំបូង|ដំបូន្មាន|ដំបូល|ដំបង|ដំបែ|ដំបូង៖
ដំបូ	ដំបូង|ដំបូន្មាន|ដំបូល|ដំបូង៖
ដំបូង	ដំបូង|ដំបូង៖
ប្រហ	ប្រហែលជា|ប្រហែល|ប្រហោង|ប្រហាក់ប្រហែល|ប្រហារជីវិត|ប្រហិត
ប្រហែ	ប្រហែលជា|ប្រហែល
តូ	តូច|តូចតាច|តូក្យូ|តូ|តូប|តូច៖
តូច	តូច|តូចតាច|តូច៖|តូចចិត្ត|តូចតា
ការរក	ការរក្សា|ការរកឃើញ|ការរក្សាទុក|ការរក|ការរកឃើញ៖|ការរកមើល
សម្រេ	សម្រេចបាន|សម្រេចចិត្ត|សម្រេច|សម្រេចបានជារៀងរាល់
ការកា	ការការពារ|ការកាត់បន្ថយ|ការកាប់បំផ្លាញ|ការកាត់|ការកាប់|ការកាន់កាប់
មូលហ	មូលហេតុ|មូលហេតុ៖
មូលហេ	មូលហេតុ|មូលហេតុ៖
សម័	សម័យ|សម័យកាល|សម័យ៖|សម័យកាល៖
សម័យ	សម័យ|សម័យកាល|សម័យ៖|សម័យកាល៖
ការលូ	ការលូតលាស់|ការលូតលា
សាម	សាមញ្ញ|សាមគ្គីភាព|សាម|សាម៉ុង|សាមសិប|សាមញ្ញ៖
សាមញ	សាមញ្ញ|សាមញ្ញ៖
សាមញ្	សាមញ្ញ|សាមញ្ញ៖
ន័	ន័យ|ន័រវេស|ន័រវេសរស់|ន័រវេសមិន|ន័រវេសត្រូវតែ
ន័យ	ន័យ
រឹ	រឹងមាំ|រឹង|រឹម|រឹតបន្តឹង|រឹតត្បិត|រឹង៖
រឹង	រឹងមាំ|រឹង|រឹង៖|រឹងរូស
រឹងម	រឹងមាំ
រឹងមា	រឹងមាំ
សារធ	សារធាតុ
សារធា	សារធាតុ
ដី	ដី|ដីធ្លី|ដី៖|ដីខ្សាច់|ដីកាហ្វេ|ដីឡូតិ៍
ធ្វើដ	ធ្វើដំណើរ|ធ្វើដំណើរកម្សាន្ត|ធ្វើដំណើរ៖|ធ្វើដំណើរកាន់តែ|ធ្វើដំនើរ|ធ្វើដំណើរការ
ទាម	ទាមទារ|ទាមទា
ទាមទ	ទាមទារ|ទាមទា
ទាមទា	ទាមទារ|ទាមទា
ធ្ល	ធ្លាប់|ធ្លាក់|ធ្លាក់ទឹកចិត្ត|ធ្លាក់ចុះ|ធ្លាយ|ធ្លាក់ខ្លួន
ធ្លា	ធ្លាប់|ធ្លាក់|ធ្លាក់ទឹកចិត្ត|ធ្លាក់ចុះ|ធ្លាយ|ធ្លាក់ខ្លួន
ធ្លាប	ធ្លាប់
មើលឃ	មើលឃើញ|មើលឃើ
មើលឃើ	មើលឃើញ|មើលឃើ
កើតម	កើតមាន|កើតមាន៖
កើតមា	កើតមាន|កើតមាន៖
ប្រឹ	ប្រឹងប្រែង|ប្រឹក្សា|ប្រឹង|ប្រឹងប្រែ
ប្រឹង	ប្រឹងប្រែង|ប្រឹង|ប្រឹងប្រែ
តន	តន្ត្រី|តន្ត្រី៖|តន្រ្តី
តន្	តន្ត្រី|តន្ត្រី៖|តន្រ្តី
តន្ត	តន្ត្រី|តន្ត្រី៖
តន្ត្	តន្ត្រី|តន្ត្រី៖
សាធ	សាធារណៈ|សាធារណៈ៖|សាធារណជន|សាធារណរដ្ឋ|សាធារ
សាធា	សាធារណៈ|សាធារណៈ៖|សាធារណជន|សាធារណរដ្ឋ|សាធារ
សាធារ	សាធារណៈ|សាធារណៈ៖|សាធារណជន|សាធារណរដ្ឋ|សាធារ
ច្បាស	ច្បាស់|ច្បាស់លាស់|ច្បាស់ជា|ច្បាស់លា|ច្បាស់៖|ច្បាស់ជាមួយនឹង
ទោ	ទោះជា|ទោះបីជា|ទោះ|ទោះបី|ទោល|ទោស
ទោះ	ទោះជា|ទោះបីជា|ទោះ|ទោះបី|ទោះបីជារឿយ
ទោះជ	ទោះជា
ទោះជា	ទោះជា
ឆ្ព	ឆ្ពោះ|ឆ្ពោះទៅ|ឆ្ពោះទៅរក
ឆ្ពោ	ឆ្ពោះ|ឆ្ពោះទៅ|ឆ្ពោះទៅរក
ឆ្ពោះ	ឆ្ពោះ|ឆ្ពោះទៅ|ឆ្ពោះទៅរក
ជាព	ជាពិសេស|ជាពិជគណិត|ជាពិសេស៖
ជាពិ	ជាពិសេស|ជាពិជគណិត|ជាពិសេស៖
ជាពិស	ជាពិសេស|ជាពិសេស៖
ហេដ	ហេដ្ឋារចនាសម្ព័ន្ធ|ហេដ្ឋារចនាសម្ព័ន្ធ៖|ហេដ្ឋារចនាសម្ព័ន្ធមិន|ហេដ្ឋារចនាសម្ព័
ហេដ្	ហេដ្ឋារចនាសម្ព័ន្ធ|ហេដ្ឋារចនាសម្ព័ន្ធ៖|ហេដ្ឋារចនាសម្ព័ន្ធមិន|ហេដ្ឋារចនាសម្ព័
ហេដ្ឋ	ហេដ្ឋារចនាសម្ព័ន្ធ|ហេដ្ឋារចនាសម្ព័ន្ធ៖|ហេដ្ឋារចនាសម្ព័ន្ធមិន|ហេដ្ឋារចនាសម្ព័
វិធា	វិធានការ|វិធានការណ៍|វិធានការសមស្រប|វិធានការត្រួតពិនិត្យ|វិធានការចាំបាច់|វិធានការប្រឆាំង
វិធាន	វិធានការ|វិធានការណ៍|វិធានការសមស្រប|វិធានការត្រួតពិនិត្យ|វិធានការចាំបាច់|វិធានការប្រឆាំង
ជះឥ	ជះឥទ្ធិពល|ជះឥទ្ធិពលរយៈពេល
ជះឥទ	ជះឥទ្ធិពល|ជះឥទ្ធិពលរយៈពេល
ជះឥទ្	ជះឥទ្ធិពល|ជះឥទ្ធិពលរយៈពេល
គ្រោ	គ្រោះថ្នាក់|គ្រោះមហន្តរាយ|គ្រោះ|គ្រោង|គ្រោះមហន្តរាយ៖|គ្រោងការណ៍
គ្រោះ	គ្រោះថ្នាក់|គ្រោះមហន្តរាយ|គ្រោះ|គ្រោះមហន្តរាយ៖|គ្រោះអាសន្ន|គ្រោះ៖
ការពិ	ការពិត|ការពិចារណា|ការពិភាក្សា|ការពិសោធន៍|ការពិនិត្យ|ការពិនិត្យមើល
ប្រត	ប្រតិបត្តិការ|ប្រតិកម្ម|ប្រតិបត្តិ|ប្រតិទិន|ប្រតិបត្តិការ៖|ប្រតិភូកម្ម
ប្រតិ	ប្រតិបត្តិការ|ប្រតិកម្ម|ប្រតិបត្តិ|ប្រតិទិន|ប្រតិបត្តិការ៖|ប្រតិភូកម្ម
ណែ	ណែនាំ|ណែន|ណែនាំ៖|ណែនាំអោយ|ណែនាំឲ្យ|ណែនាំមុខងារ
ណែន	ណែនាំ|ណែន|ណែនាំ៖|ណែនាំអោយ|ណែនាំឲ្យ|ណែនាំមុខងារ
ណែនា	ណែនាំ|ណែនាំ៖|ណែនាំអោយ|ណែនាំឲ្យ|ណែនាំមុខងារ
ណែនាំ	ណែនាំ|ណែនាំ៖|ណែនាំអោយ|ណែនាំឲ្យ|ណែនាំមុខងារ
ចូលច	ចូលចិត្ត|ចូលចិត្ត៖|ចូលចិត្តភាព|ចូលចិញ្ចើមផ្លូវ
ចូលចិ	ចូលចិត្ត|ចូលចិត្ត៖|ចូលចិត្តភាព|ចូលចិញ្ចើមផ្លូវ
រកឃ	រកឃើញ|រកឃើញ៖
រកឃើ	រកឃើញ|រកឃើញ៖
រកឃើញ	រកឃើញ|រកឃើញ៖
ចំណុ	ចំណុច|ចំណុះ
ចំណុច	ចំណុច
ស្រ	ស្រុក|ស្រដៀង|ស្រមៃ|ស្រប|ស្រាប់|ស្រស់ស្អាត
ស្រុ	ស្រុក|ស្រុក៖|ស្រុង៖|ស្រុត
ស្រុក	ស្រុក|ស្រុក៖
ពណ	ពណ៌|ពណ៌នា|ពណ៌៖
ពណ៌	ពណ៌|ពណ៌នា|ពណ៌៖
មធ	មធ្យោបាយ|មធ្យម|មធ្យមសិក្សា|មធ្យម៖|មធ្យមសិក្សា៖
មធ្	មធ្យោបាយ|មធ្យម|មធ្យមសិក្សា|មធ្យម៖|មធ្យមសិក្សា៖
មធ្យ	មធ្យោបាយ|មធ្យម|មធ្យមសិក្សា|មធ្យម៖|មធ្យមសិក្សា៖
មធ្យោ	មធ្យោបាយ
ក្រោ	ក្រោយ|ក្រោម|ក្រោក|ក្រោយមក|ក្រោយពេល|ក្រោយពី
ក្រោយ	ក្រោយ|ក្រោយមក|ក្រោយពេល|ក្រោយពី|ក្រោយ៖|ក្រោយមធ្យមសិក្សា
ឯក	ឯកជន|ឯកសារ|ឯករាជ្យ|ឯកទេស|ឯកតា|ឯកភាព
ឯកជ	ឯកជន|ឯកជន៖|ឯកជនភាព
ឯកជន	ឯកជន|ឯកជន៖|ឯកជនភាព
កស	កសិកម្ម|កសាង|កសិករ|កសិដ្ឋាន|កសិកម្ម៖|កសាងឡើង
កសិ	កសិកម្ម|កសិករ|កសិដ្ឋាន|កសិកម្ម៖|កសិផល|កសិរុក្ខកម្ម
កសិក	កសិកម្ម|កសិករ|កសិកម្ម៖
កសិកម	កសិកម្ម|កសិកម្ម៖
ទំនួ	ទំនួល
ទំនួល	ទំនួល
ស្គ	ស្គាល់|ស្គី|ស្គ្រីប|ស្គរ|ស្គាល់៖|ស្គម
ស្គា	ស្គាល់|ស្គាល់៖
ស្គាល	ស្គាល់|ស្គាល់៖
ជាក់ស	ជាក់ស្តែង|ជាក់ស្តែ|ជាក់ស្ដែង
នាន	នានា|នានា៖
នានា	នានា|នានា៖
មុខង	មុខងារ|មុខងា
មុខងា	មុខងារ|មុខងា
បញ្ញ	បញ្ញា|បញ្ញើ|បញ្ញា៖|បញ្ញវន្ត|បញ្ញើរ៉ែ
បញ្ញា	បញ្ញា|បញ្ញា៖
កម្ល	កម្លាំង|កម្លាំងចិត្ត|កម្លាំ
កម្លា	កម្លាំង|កម្លាំងចិត្ត|កម្លាំ
ចេ	ចេញ|ចេះ|ចេញពី|ចេតនា|ចេក|ចេញដំណើរ
ចេញ	ចេញ|ចេញពី|ចេញដំណើរ|ចេញផ្សាយ|ចេញមក|ចេញ៖
អវ	អវិជ្ជមាន|អវកាស|អវត្តមាន|អវត្ដមាន|អវកាស៖|អវកាសយានិក
អវិ	អវិជ្ជមាន|អវិជ្ជមាន៖
អវិជ	អវិជ្ជមាន|អវិជ្ជមាន៖
អវិជ្	អវិជ្ជមាន|អវិជ្ជមាន៖
ការកែ	ការកែលម្អ|ការកែច្នៃ|ការកែប្រែ|ការកែតម្រូវ|ការកែសម្រួល|ការកែទម្រង់
ទីត	ទីតាំង|ទីតាំ|ទីតាំងពីរ|ទីត
ទីតា	ទីតាំង|ទីតាំ|ទីតាំងពីរ
ទីតាំ	ទីតាំង|ទីតាំ|ទីតាំងពីរ
បើ	បើក|បើ|បើកបរ|បើកចំហ|បើកចិត្ត|បើកចំហរ
បើក	បើក|បើកបរ|បើកចំហ|បើកចិត្ត|បើកចំហរ|បើកឡ
ជំនាន	ជំនាន់
ពិធ	ពិធី|ពិធីសាសនា|ពិធីសារ|ពិធីការ|ពិធី៖|ពិធីការកម្មវិធី
ពិធី	ពិធី|ពិធីសាសនា|ពិធីសារ|ពិធីការ|ពិធី៖|ពិធីការកម្មវិធី
លេង	លេង|លេងសើច|លេង៖
បម	បម្រើ|បម្រែបម្រួល|បម្រុងទុក|បម្រុង|បម្រាម|បម្រើការ
បម្	បម្រើ|បម្រែបម្រួល|បម្រុងទុក|បម្រុង|បម្រាម|បម្រើការ
បម្រ	បម្រើ|បម្រែបម្រួល|បម្រុងទុក|បម្រុង|បម្រាម|បម្រើការ
បម្រើ	បម្រើ|បម្រើការ
រាប	រាប់|រាប់បញ្ចូល|រាប|រាបស្មើ|រាបសារ|រាប់អាន
រាប់	រាប់|រាប់បញ្ចូល|រាប់អាន|រាប់បញ្ចូល៖
លក្ខខ	លក្ខខណ្ឌ|លក្ខខណ្ឌ៖
ខុ	ខុសត្រូវ|ខុស|ខុសគ្នា|ខុសពី|ខុសត្រូវ៖|ខុសប្លែក
ខុស	ខុសត្រូវ|ខុស|ខុសគ្នា|ខុសពី|ខុសត្រូវ៖|ខុសប្លែក
ខុសត	ខុសត្រូវ|ខុសត្រូវ៖|ខុសត្រូវការងារ|ខុសត្រូ
ខុសត្	ខុសត្រូវ|ខុសត្រូវ៖|ខុសត្រូវការងារ|ខុសត្រូ
សាក	សាកល្បង|សាកល|សាកលវិទ្យាល័យ|សាកសព|សាក្សី|សាកសម
សាកល	សាកល្បង|សាកល|សាកលវិទ្យាល័យ|សាកលលោក|សាកល្បង៖|សាកលវិទ្យាល័យ៖
សាកល្	សាកល្បង|សាកល្បង៖
បុរ	បុរាណ|បុរស|បុរេប្រវត្តិ|បុរាណវិទ្យា|បុរាណកាល|បុរាណ៖
បុរា	បុរាណ|បុរាណវិទ្យា|បុរាណកាល|បុរាណ៖|បុរាណវិទូ|បុរាណវិញ
បុរាណ	បុរាណ|បុរាណវិទ្យា|បុរាណកាល|បុរាណ៖|បុរាណវិទូ|បុរាណវិញ
ក្ប	ក្បួន|ក្បាល|ក្បែរ|ក្បាច់គុន|ក្បាច់|ក្បត់
ក្បួ	ក្បួន
ក្បួន	ក្បួន
ខា	ខាង|ខាងក្រៅ|ខាងមុខ|ខាងក្នុង|ខាងក្រោម|ខាងលិច
ខាង	ខាង|ខាងក្រៅ|ខាងមុខ|ខាងក្នុង|ខាងក្រោម|ខាងលិច
ការស្	ការស្វែងរក|ការស្រាវជ្រាវ|ការស្វែងយល់|ការស្តាប់|ការស្រមើលស្រមៃ|ការស្នាក់
ផែនក	ផែនការ|ផែនការធ្វើដំណើរ|ផែនការអាហារ|ផែនការព្យាបាល|ផែនការឆ្លើយតប|ផែនការសង្គ្រោះ
ផែនកា	ផែនការ|ផែនការធ្វើដំណើរ|ផែនការអាហារ|ផែនការព្យាបាល|ផែនការឆ្លើយតប|ផែនការសង្គ្រោះ
ចំណា	ចំណាយ|ចំណាប់អារម្មណ៍|ចំណាកស្រុក|ចំណាំ|ចំណាស់|ចំណាត់ថ្នាក់
ចំណាយ	ចំណាយ|ចំណាយ៖
អក	អក្សរ|អក្សរសិល្ប៍|អក្សរសាស្ត្រ|អក្ខរកម្ម|អកុសល|អក្ខរាវិរុទ្ធ
អក្	អក្សរ|អក្សរសិល្ប៍|អក្សរសាស្ត្រ|អក្ខរកម្ម|អក្ខរាវិរុទ្ធ|អក្ខរ
អក្ស	អក្សរ|អក្សរសិល្ប៍|អក្សរសាស្ត្រ|អក្សរសាស្រ្ត|អក្សរបញ្ចូល|អក្សរចារឹក
អក្សរ	អក្សរ|អក្សរសិល្ប៍|អក្សរសាស្ត្រ|អក្សរសាស្រ្ត|អក្សរបញ្ចូល|អក្សរចារឹក
អរ	អរគុណ|អរិយធម៌|អរូបី|អរម៉ូន|អរុណ|អរ
អរគ	អរគុណ
អរគុ	អរគុណ
អរគុណ	អរគុណ
គាំ	គាំទ្រ|គាំង|គាំទ្រ៖|គាំពារ
គាំទ	គាំទ្រ|គាំទ្រ៖
គាំទ្	គាំទ្រ|គាំទ្រ៖
ចុះ	ចុះ|ចុះក្រោម|ចុះខ្សោយ|ចុះឈ្មោះ|ចុះហត្ថលេខា|ចុះសម្រុង
អាជីព	អាជីព|អាជីព៖
ព្យ	ព្យាយាម|ព្យាបាល|ព្យាករណ៍|ព្យុះ|ព្យាបាទ|ព្យួរ
ព្យា	ព្យាយាម|ព្យាបាល|ព្យាករណ៍|ព្យាបាទ|ព្យាណូ|ព្យាយាម៖
ព្យាយ	ព្យាយាម|ព្យាយាម៖
ទំនៀ	ទំនៀមទម្លាប់|ទំនៀមទំលាប់|ទំនៀមទំលាប់៖|ទំនៀមទម្លាប់៖|ទំនៀមទំលា
ទំនៀម	ទំនៀមទម្លាប់|ទំនៀមទំលាប់|ទំនៀមទំលាប់៖|ទំនៀមទម្លាប់៖|ទំនៀមទំលា
ឆ្ល	ឆ្លុះបញ្ចាំង|ឆ្លងកាត់|ឆ្លាតវៃ|ឆ្លង|ឆ្លើយតប|ឆ្លើយ
ឆ្លុ	ឆ្លុះបញ្ចាំង|ឆ្លុះ|ឆ្លុះបញ្ជាំង
ឆ្លុះ	ឆ្លុះបញ្ចាំង|ឆ្លុះ|ឆ្លុះបញ្ជាំង
ប្រជ	ប្រជាជន|ប្រជាជាតិ|ប្រជាពលរដ្ឋ|ប្រជាធិបតេយ្យ|ប្រជែង|ប្រជាសាស្រ្ត
ប្រជា	ប្រជាជន|ប្រជាជាតិ|ប្រជាពលរដ្ឋ|ប្រជាធិបតេយ្យ|ប្រជាសាស្រ្ត|ប្រជាប្រិយភាព
ការកម	ការកម្សាន្ត|ការកម្សាន្ត៖|ការកម្សាន្ដ|ការកម្សា|ការកម្សាន្ដ៖|ការកម្រិត
ប្រធ	ប្រធានបទ|ប្រធាន|ប្រធានាធិបតី|ប្រធានបទ៖|ប្រធានបទទូទៅ|ប្រធានបទសន្ទនា
ប្រធា	ប្រធានបទ|ប្រធាន|ប្រធានាធិបតី|ប្រធានបទ៖|ប្រធានបទទូទៅ|ប្រធានបទសន្ទនា
កើន	កើនឡើង|កើនឡើង៖|កើនឡើ
កើនឡ	កើនឡើង|កើនឡើង៖|កើនឡើ
កើនឡើ	កើនឡើង|កើនឡើង៖|កើនឡើ
ឥត	ឥត
វិភ	វិភាគ|វិភាគរចនាសម្ព័ន្ធ|វិភាគទាន|វិភាគ៖
វិភា	វិភាគ|វិភាគរចនាសម្ព័ន្ធ|វិភាគទាន|វិភាគ៖
វិភាគ	វិភាគ|វិភាគរចនាសម្ព័ន្ធ|វិភាគទាន|វិភាគ៖
ទៀង	ទៀងទាត់|ទៀងទាត់៖|ទៀងទា
ទៀងទ	ទៀងទាត់|ទៀងទាត់៖|ទៀងទា
ទៀងទា	ទៀងទាត់|ទៀងទាត់៖|ទៀងទា
ទៅកា	ទៅកាន់|ទៅកាន់តែ|ទៅការងារ|ទៅការគណនា|ទៅការកម្សាន្ត|ទៅការអនុវត្ត
ទៅកាន	ទៅកាន់|ទៅកាន់តែ
ពិស	ពិសេស|ពិសោធន៍|ពិសោធ|ពិសិដ្ឋ|ពិសា|ពិសារ
ពិសេ	ពិសេស|ពិសេស៖
ពិសេស	ពិសេស|ពិសេស៖
ភាពល	ភាពលំអៀង|ភាពល្អ|ភាពលំបាក|ភាពលេចធ្លោ|ភាពល្បីល្បាញ|ភាពលំអៀង៖
ភាពលំ	ភាពលំអៀង|ភាពលំបាក|ភាពលំអៀង៖
បទដ	បទដ្ឋាន|បទដ្ឋាន៖
បទដ្	បទដ្ឋាន|បទដ្ឋាន៖
បទដ្ឋ	បទដ្ឋាន|បទដ្ឋាន៖
បរិប	បរិបទ|បរិបូរណ៍|បរិបទ៖|បរិប
បរិបទ	បរិបទ|បរិបទ៖
ទិញ	ទិញ|ទិញ៖
យុត	យុត្តិធម៌|យុត្តិធម៌៖|យុត្តិធម៍|យុត្តិ|យុត្តាធិការ|យុត្តិធ
យុត្	យុត្តិធម៌|យុត្តិធម៌៖|យុត្តិធម៍|យុត្តិ|យុត្តាធិការ|យុត្តិធ
យុត្ត	យុត្តិធម៌|យុត្តិធម៌៖|យុត្តិធម៍|យុត្តិ|យុត្តាធិការ|យុត្តិធ
ឆ្លង	ឆ្លងកាត់|ឆ្លង|ឆ្លង៖|ឆ្លងកាត់បន្ទាត់|ឆ្លងកាត់៖|ឆ្លងកាត់ការនិទាន
ឆ្លងក	ឆ្លងកាត់|ឆ្លងកាត់បន្ទាត់|ឆ្លងកាត់៖|ឆ្លងកាត់ការនិទាន|ឆ្លងកាន់តែ
អត្រ	អត្រា
អត្រា	អត្រា
វត	វត្ថុ|វត្តមាន|វត្ថុធាតុ|វត្ថុអនុស្សាវរីយ៍|វត្ថុអរូបី|វត្ត
វត្	វត្ថុ|វត្តមាន|វត្ថុធាតុ|វត្ថុអនុស្សាវរីយ៍|វត្ថុអរូបី|វត្ត
វត្ថ	វត្ថុ|វត្ថុធាតុ|វត្ថុអនុស្សាវរីយ៍|វត្ថុអរូបី|វត្ថុតាម|វត្ថុ៖
វត្ថុ	វត្ថុ|វត្ថុធាតុ|វត្ថុអនុស្សាវរីយ៍|វត្ថុអរូបី|វត្ថុតាម|វត្ថុ៖
ឯកស	ឯកសារ|ឯកសារភ្ជាប់|ឯកសារ៖|ឯកសណ្ឋាន|ឯកសារជា|ឯកសិទ្ធិ
ឯកសា	ឯកសារ|ឯកសារភ្ជាប់|ឯកសារ៖|ឯកសារជា
ឯកសារ	ឯកសារ|ឯកសារភ្ជាប់|ឯកសារ៖|ឯកសារជា
យក	យក|យកចិត្តទុកដាក់|យកឈ្នះ|យក្ស|យកមក|យក៖
សំណ	សំណួរ|សំណុំ|សំណាង|សំណើម|សំណង់|សំណល់
សំណួ	សំណួរ|សំណួរ៖|សំណួ|សំណួរបាទ
សំណួរ	សំណួរ|សំណួរ៖|សំណួរបាទ
ភាគ	ភាគ|ភាគី|ភាគហ៊ុន|ភាគរយ|ភាគលាភ|ភាគហ៊ុនិក
ជំហ	ជំហាន|ជំហរ|ជំហា
ជំហា	ជំហាន|ជំហា
ជំហាន	ជំហាន
បញ្ច	បញ្ចូល|បញ្ចប់|បញ្ចេញ|បញ្ចេញមតិ|បញ្ចុះបញ្ចូល|បញ្ច្រាស
បញ្ចូ	បញ្ចូល|បញ្ចូល៖|បញ្ចូលៈ
របប	របប
ហាក	ហាក់ដូចជា|ហាក់បីដូចជា|ហាក់
ហាក់	ហាក់ដូចជា|ហាក់បីដូចជា|ហាក់
ហាក់ដ	ហាក់ដូចជា
រុ	រុករក|រុក្ខជាតិ|រុញ|រុស្ស៊ី|រុំ|រុងរឿង
រុក	រុករក|រុក្ខជាតិ|រុក្ខសាស្ត្រ|រុក្ខា|រុក្ខជា|រុករក៖
រុករ	រុករក|រុករក៖|រុករកសារ
រុករក	រុករក|រុករក៖|រុករកសារ
ប្រឆ	ប្រឆាំង
ប្រឆា	ប្រឆាំង
វឌ	វឌ្ឍនភាព|វឌ្ឍនភាពសង្គម|វឌ្ឍនភាពវិទ្យាសាស្ត្រ|វឌ្ឍនភាព៖|វឌ្ឍនភាពសង្គម៖|វឌ្ឍនភាពវិជ្ជាជីវៈ
វឌ្	វឌ្ឍនភាព|វឌ្ឍនភាពសង្គម|វឌ្ឍនភាពវិទ្យាសាស្ត្រ|វឌ្ឍនភាព៖|វឌ្ឍនភាពសង្គម៖|វឌ្ឍនភាពវិជ្ជាជីវៈ
វឌ្ឍ	វឌ្ឍនភាព|វឌ្ឍនភាពសង្គម|វឌ្ឍនភាពវិទ្យាសាស្ត្រ|វឌ្ឍនភាព៖|វឌ្ឍនភាពសង្គម៖|វឌ្ឍនភាពវិជ្ជាជីវៈ
វឌ្ឍន	វឌ្ឍនភាព|វឌ្ឍនភាពសង្គម|វឌ្ឍនភាពវិទ្យាសាស្ត្រ|វឌ្ឍនភាព៖|វឌ្ឍនភាពសង្គម៖|វឌ្ឍនភាពវិជ្ជាជីវៈ
ពួកវ	ពួកវា
ពួកវា	ពួកវា
ពង្រឹ	ពង្រឹង|ពង្រឹ
ជំនួ	ជំនួស|ជំនួយ|ជំនួយការ|ជំនួយការនិម្មិត|ជំនួយការសំឡេង|ជំនួយការ៖
ជំនួស	ជំនួស|ជំនួស៖
ការព្	ការព្យាបាល|ការព្រួយបារម្ភ|ការព្យាករណ៍|ការព្យាយាម|ការព្យួរ|ការព្យាបាល៖
ការគំ	ការគំរាមកំហែង|ការគំរាមកំហែង៖|ការគំរាមកំហែ
ការធា	ការធានា|ការធាត់|ការធានារ៉ាប់រង|ការធាតុ
ពឹ	ពឹងផ្អែក|ពឹង|ពឹងពាក់
ពឹង	ពឹងផ្អែក|ពឹង|ពឹងពាក់
ពឹងផ	ពឹងផ្អែក
ពឹងផ្	ពឹងផ្អែក
ភាពខ	ភាពខុសគ្នា|ភាពខុសប្លែក|ភាពខ្លាំង|ភាពខ្វះខាត|ភាពខុសឆ្គង|ភាពខុស
ភាពខុ	ភាពខុសគ្នា|ភាពខុសប្លែក|ភាពខុសឆ្គង|ភាពខុស
បី	បី|បីបាច់|បី៖|បីដូចជា|បីបាច់គុណ
ខិ	ខិតខំ|ខិត|ខិត្តប័ណ្ណ|ខិន|ខិតមក|ខិតប័ណ្ណ
ខិត	ខិតខំ|ខិត|ខិត្តប័ណ្ណ|ខិតមក|ខិតប័ណ្ណ
ខិតខ	ខិតខំ
ខិតខំ	ខិតខំ
